train_ratio,combo_idx,lr,hidden_dim,num_layers,lambda1,lambda2,d,avg_rmse
70%,1,0.008,64,2,0.7,0.1,0.5,0.03236147872823858
70%,2,0.008,64,2,1.0,0.2,0.75,0.03053618031291725
70%,3,0.008,64,3,0.7,0.1,0.5,0.02723073668026282
70%,4,0.008,64,3,1.0,0.2,0.75,0.0245329262446514
70%,5,0.008,128,2,0.7,0.1,0.5,0.025021027859959317
70%,6,0.008,128,2,1.0,0.2,0.75,0.027157102330813917
70%,7,0.008,128,3,0.7,0.1,0.5,0.02629681623023597
70%,8,0.008,128,3,1.0,0.2,0.75,0.023499177381623354
70%,9,0.01,64,2,0.7,0.1,0.5,0.03249234719649506
70%,10,0.01,64,2,1.0,0.2,0.75,0.029494090759359624
70%,11,0.01,64,3,0.7,0.1,0.5,0.034192824201284035
70%,12,0.01,64,3,1.0,0.2,0.75,0.026568570484432584
70%,13,0.01,128,2,0.7,0.1,0.5,0.02389437689083588
70%,14,0.01,128,2,1.0,0.2,0.75,0.0237793387210548
70%,15,0.01,128,3,0.7,0.1,0.5,0.02847728537415727
70%,16,0.01,128,3,1.0,0.2,0.75,0.02487559757395833
