lr,hidden_dim,num_layers,lambda1,lambda2,d,mean_rmse,max_rmse,min_rmse
0.01,96,3,0.7,0.1,0.5,0.10540031403147428,0.1872420463031114,0.0491143324220075
0.006,160,4,1.0,0.2,0.75,0.10545547328115022,0.1925435354696761,0.0400408525958879
0.006,160,3,0.85,0.15,0.65,0.10567158524706582,0.1921614877066914,0.0503332974909222
0.01,160,4,1.0,0.2,0.75,0.10585974815638582,0.167312461319651,0.0541380234860387
0.006,128,4,0.85,0.15,0.65,0.1059634518164005,0.1770018959856958,0.0525604114595578
0.006,96,2,0.85,0.15,0.65,0.10711817918171455,0.2132206819037257,0.0475943042774144
0.008,96,4,0.7,0.1,0.5,0.10728526445957262,0.1878892019239512,0.0536699073568983
0.006,96,4,0.7,0.1,0.5,0.10762899602366778,0.20004070538634,0.0536825881718715
0.01,96,4,0.7,0.1,0.5,0.10832365002424862,0.1796417809998457,0.0518274476338425
0.008,96,4,0.85,0.15,0.65,0.10896119254982367,0.1794816570802974,0.0539149145111751
0.01,96,4,1.0,0.2,0.75,0.11139476002458788,0.1898743375244431,0.0567296362037431
0.006,128,4,0.7,0.1,0.5,0.1116342505500357,0.2262177109968025,0.0492361240469608
0.006,96,2,0.7,0.1,0.5,0.1153807146949731,0.2205997382257624,0.0579225598515067
0.006,128,2,0.7,0.1,0.5,0.12014696875270169,0.2586297636930299,0.0495045855293968
