train_ratio,combo_idx,lr,hidden_dim,num_layers,lambda1,lambda2,d,avg_rmse
50%,13,0.006,128,3,0.7,0.1,0.5,0.1028066669196034
50%,14,0.006,128,3,0.85,0.15,0.65,0.0938523933459895
50%,15,0.006,128,3,1.0,0.2,0.75,0.1014803432713871
50%,16,0.006,128,4,0.7,0.1,0.5,0.098863478509129
50%,17,0.006,128,4,0.85,0.15,0.65,0.1208193036099737
50%,18,0.006,128,4,1.0,0.2,0.75,0.1093088733873444
50%,19,0.006,160,2,0.7,0.1,0.5,0.0797111776846496
50%,20,0.006,160,2,0.85,0.15,0.65,0.0896689953308812
50%,21,0.006,160,2,1.0,0.2,0.75,0.0836474348254179
50%,22,0.006,160,3,0.7,0.1,0.5,0.0951197291006838
50%,23,0.006,160,3,0.85,0.15,0.65,0.1110910952412328
50%,24,0.006,160,3,1.0,0.2,0.75,0.10683837912848
50%,25,0.006,160,4,0.7,0.1,0.5,0.1051779940434403
50%,26,0.006,160,4,0.85,0.15,0.65,0.1109404666824568
50%,27,0.006,160,4,1.0,0.2,0.75,0.1176943010825343
50%,28,0.008,96,2,0.7,0.1,0.5,0.0907492773982946
50%,29,0.008,96,2,0.85,0.15,0.65,0.0904524926243815
50%,30,0.008,96,2,1.0,0.2,0.75,0.1013397423933285
50%,31,0.008,96,3,0.7,0.1,0.5,0.0923172816168228
50%,32,0.008,96,3,0.85,0.15,0.65,0.1043719586622869
50%,33,0.008,96,3,1.0,0.2,0.75,0.113672663880629
50%,34,0.008,96,4,0.7,0.1,0.5,0.109931180310059
50%,35,0.008,96,4,0.85,0.15,0.65,0.1166483745927975
50%,36,0.008,96,4,1.0,0.2,0.75,0.1177797201422906
50%,37,0.008,128,2,0.7,0.1,0.5,0.0890517560162015
50%,38,0.008,128,2,0.85,0.15,0.65,0.0907264549335617
50%,39,0.008,128,2,1.0,0.2,0.75,0.093795957599053
50%,40,0.008,128,3,0.7,0.1,0.5,0.0906710849438004
50%,41,0.008,128,3,0.85,0.15,0.65,0.0879296661148808
50%,42,0.008,128,3,1.0,0.2,0.75,0.106673286446056
50%,43,0.008,128,4,0.7,0.1,0.5,0.1145837782969471
50%,44,0.008,128,4,0.85,0.15,0.65,0.1205234979842271
50%,45,0.008,128,4,1.0,0.2,0.75,0.1195048229784037
50%,46,0.008,160,2,0.7,0.1,0.5,0.0878832966213538
50%,47,0.008,160,2,0.85,0.15,0.65,0.0839369050020478
50%,48,0.008,160,2,1.0,0.2,0.75,0.0944363879412503
50%,49,0.008,160,3,0.7,0.1,0.5,0.0955589000530703
50%,50,0.008,160,3,0.85,0.15,0.65,0.1045389787874771
50%,51,0.008,160,3,1.0,0.2,0.75,0.0993065894498496
50%,52,0.008,160,4,0.7,0.1,0.5,0.1114432992474225
50%,53,0.008,160,4,0.85,0.15,0.65,0.1220727922680278
50%,54,0.008,160,4,1.0,0.2,0.75,0.113629092213737
50%,55,0.01,96,2,0.7,0.1,0.5,0.1016449834469058
50%,56,0.01,96,2,0.85,0.15,0.65,0.1013941793030443
50%,57,0.01,96,2,1.0,0.2,0.75,0.0980639102421648
50%,58,0.01,96,3,0.7,0.1,0.5,0.1125402496702178
50%,59,0.01,96,3,0.85,0.15,0.65,0.107825186339067
50%,60,0.01,96,3,1.0,0.2,0.75,0.1107998717736469
50%,61,0.01,96,4,0.7,0.1,0.5,0.1198318949546845
50%,62,0.01,96,4,0.85,0.15,0.65,0.1246649449897278
50%,63,0.01,96,4,1.0,0.2,0.75,0.1214303328136687
50%,64,0.01,128,2,0.7,0.1,0.5,0.1018567559505169
50%,65,0.01,128,2,0.85,0.15,0.65,0.0876994006682527
50%,66,0.01,128,2,1.0,0.2,0.75,0.0937143051814469
50%,67,0.01,128,3,0.7,0.1,0.5,0.0942767782253189
50%,68,0.01,128,3,0.85,0.15,0.65,0.0955253642847675
50%,69,0.01,128,3,1.0,0.2,0.75,0.1033513157341162
50%,70,0.01,128,4,0.7,0.1,0.5,0.1143437271866204
50%,71,0.01,128,4,0.85,0.15,0.65,0.1124236499559528
50%,72,0.01,128,4,1.0,0.2,0.75,0.1049814434474876
50%,73,0.01,160,2,0.7,0.1,0.5,0.0903631331217802
50%,74,0.01,160,2,0.85,0.15,0.65,0.0935575067092909
50%,75,0.01,160,2,1.0,0.2,0.75,0.0976337451191279
50%,76,0.01,160,3,0.7,0.1,0.5,0.0889513397460203
50%,77,0.01,160,3,0.85,0.15,0.65,0.0977850043273569
50%,78,0.01,160,3,1.0,0.2,0.75,0.0932212863782951
50%,79,0.01,160,4,0.7,0.1,0.5,0.1146961820878662
50%,80,0.01,160,4,0.85,0.15,0.65,0.1024678276607857
50%,81,0.01,160,4,1.0,0.2,0.75,0.1194394832228365
60%,1,0.006,96,2,0.7,0.1,0.5,0.0723653377970434
60%,2,0.006,96,2,0.85,0.15,0.65,0.0667577308027982
60%,3,0.006,96,2,1.0,0.2,0.75,0.0684169767932358
60%,4,0.006,96,3,0.7,0.1,0.5,0.0740154496505047
60%,5,0.006,96,3,0.85,0.15,0.65,0.0704459528069876
60%,6,0.006,96,3,1.0,0.2,0.75,0.0719718428405026
60%,7,0.006,96,4,0.7,0.1,0.5,0.0807087394888458
60%,8,0.006,96,4,0.85,0.15,0.65,0.0768409878733802
60%,9,0.006,96,4,1.0,0.2,0.75,0.0762130037031044
60%,10,0.006,128,2,0.7,0.1,0.5,0.066971315518796
60%,11,0.006,128,2,0.85,0.15,0.65,0.0666760982470322
60%,12,0.006,128,2,1.0,0.2,0.75,0.0622753842739511
60%,13,0.006,128,3,0.7,0.1,0.5,0.0700036158094341
60%,14,0.006,128,3,0.85,0.15,0.65,0.0677233565941761
60%,15,0.006,128,3,1.0,0.2,0.75,0.0663973782735445
60%,16,0.006,128,4,0.7,0.1,0.5,0.0722196886472505
60%,17,0.006,128,4,0.85,0.15,0.65,0.0734721962103747
60%,18,0.006,128,4,1.0,0.2,0.75,0.0819095355539972
60%,19,0.006,160,2,0.7,0.1,0.5,0.0583427979513652
60%,20,0.006,160,2,0.85,0.15,0.65,0.0516501988278784
60%,21,0.006,160,2,1.0,0.2,0.75,0.0565149696177702
60%,22,0.006,160,3,0.7,0.1,0.5,0.0692841484146951
60%,23,0.006,160,3,0.85,0.15,0.65,0.0691004605494169
60%,24,0.006,160,3,1.0,0.2,0.75,0.0654476008204801
60%,25,0.006,160,4,0.7,0.1,0.5,0.0730623762300561
60%,26,0.006,160,4,0.85,0.15,0.65,0.0704818088660644
60%,27,0.006,160,4,1.0,0.2,0.75,0.0715432039765026
60%,28,0.008,96,2,0.7,0.1,0.5,0.0696765500904013
60%,29,0.008,96,2,0.85,0.15,0.65,0.0713755843930247
60%,30,0.008,96,2,1.0,0.2,0.75,0.0653071112726111
60%,31,0.008,96,3,0.7,0.1,0.5,0.0734689821651692
60%,32,0.008,96,3,0.85,0.15,0.65,0.0790081510213473
60%,33,0.008,96,3,1.0,0.2,0.75,0.0671108172503396
60%,34,0.008,96,4,0.7,0.1,0.5,0.077650768247382
60%,35,0.008,96,4,0.85,0.15,0.65,0.0857998240150247
60%,36,0.008,96,4,1.0,0.2,0.75,0.0747031163989917
60%,37,0.008,128,2,0.7,0.1,0.5,0.062555556471391
60%,38,0.008,128,2,0.85,0.15,0.65,0.0649568457859702
60%,39,0.008,128,2,1.0,0.2,0.75,0.0655967067495302
60%,40,0.008,128,3,0.7,0.1,0.5,0.0687376986077987
60%,41,0.008,128,3,0.85,0.15,0.65,0.0620788822968428
60%,42,0.008,128,3,1.0,0.2,0.75,0.0612506903406696
60%,43,0.008,128,4,0.7,0.1,0.5,0.0740746262073823
60%,44,0.008,128,4,0.85,0.15,0.65,0.07149816772333
60%,45,0.008,128,4,1.0,0.2,0.75,0.0676886688662409
60%,46,0.008,160,2,0.7,0.1,0.5,0.056759529798565
60%,47,0.008,160,2,0.85,0.15,0.65,0.0653875411868323
60%,48,0.008,160,2,1.0,0.2,0.75,0.060950805635464
60%,49,0.008,160,3,0.7,0.1,0.5,0.0670589179047749
60%,50,0.008,160,3,0.85,0.15,0.65,0.0641976296799962
60%,51,0.008,160,3,1.0,0.2,0.75,0.0648143296562032
60%,52,0.008,160,4,0.7,0.1,0.5,0.0708540856313542
60%,53,0.008,160,4,0.85,0.15,0.65,0.0719895563067284
60%,54,0.008,160,4,1.0,0.2,0.75,0.0680487057248837
60%,55,0.01,96,2,0.7,0.1,0.5,0.0687010273398725
60%,56,0.01,96,2,0.85,0.15,0.65,0.0698131102901007
60%,57,0.01,96,2,1.0,0.2,0.75,0.0629174439300019
60%,58,0.01,96,3,0.7,0.1,0.5,0.0727046277305604
60%,59,0.01,96,3,0.85,0.15,0.65,0.0707508500565284
60%,60,0.01,96,3,1.0,0.2,0.75,0.0720172198236874
60%,61,0.01,96,4,0.7,0.1,0.5,0.0819934765086218
60%,62,0.01,96,4,0.85,0.15,0.65,0.0710801341814595
60%,63,0.01,96,4,1.0,0.2,0.75,0.0775447335564966
60%,64,0.01,128,2,0.7,0.1,0.5,0.0607186267151644
60%,65,0.01,128,2,0.85,0.15,0.65,0.0576465342651416
60%,66,0.01,128,2,1.0,0.2,0.75,0.0615137377907881
60%,67,0.01,128,3,0.7,0.1,0.5,0.0654606982352052
60%,68,0.01,128,3,0.85,0.15,0.65,0.0597899535976794
60%,69,0.01,128,3,1.0,0.2,0.75,0.0565257575784149
60%,70,0.01,128,4,0.7,0.1,0.5,0.0686910587558661
60%,71,0.01,128,4,0.85,0.15,0.65,0.0716129656695295
60%,72,0.01,128,4,1.0,0.2,0.75,0.0688218082673502
60%,73,0.01,160,2,0.7,0.1,0.5,0.0657270538868565
60%,74,0.01,160,2,0.85,0.15,0.65,0.0669214957520701
60%,75,0.01,160,2,1.0,0.2,0.75,0.0631639611942673
60%,76,0.01,160,3,0.7,0.1,0.5,0.0695301031452802
60%,77,0.01,160,3,0.85,0.15,0.65,0.070728854460747
60%,78,0.01,160,3,1.0,0.2,0.75,0.0706319940689192
60%,79,0.01,160,4,0.7,0.1,0.5,0.0716364836139154
60%,80,0.01,160,4,0.85,0.15,0.65,0.0886716216041992
60%,81,0.01,160,4,1.0,0.2,0.75,0.0825490245970171
70%,1,0.006,96,2,0.7,0.1,0.5,0.0579225598515067
70%,2,0.006,96,2,0.85,0.15,0.65,0.0475943042774144
70%,3,0.006,96,2,1.0,0.2,0.75,0.0507584248247821
70%,4,0.006,96,3,0.7,0.1,0.5,0.0519626873084464
70%,5,0.006,96,3,0.85,0.15,0.65,0.0545944119303797
70%,6,0.006,96,3,1.0,0.2,0.75,0.0507110034653072
70%,7,0.006,96,4,0.7,0.1,0.5,0.0536825881718715
70%,8,0.006,96,4,0.85,0.15,0.65,0.0570096631623307
70%,9,0.006,96,4,1.0,0.2,0.75,0.0534883706506051
70%,10,0.006,128,2,0.7,0.1,0.5,0.0495045855293968
70%,11,0.006,128,2,0.85,0.15,0.65,0.0488914993604087
70%,12,0.006,128,2,1.0,0.2,0.75,0.0459640676324546
70%,13,0.006,128,3,0.7,0.1,0.5,0.0432380860082065
70%,14,0.006,128,3,0.85,0.15,0.65,0.0443788797582615
70%,15,0.006,128,3,1.0,0.2,0.75,0.0450950099449281
70%,16,0.006,128,4,0.7,0.1,0.5,0.0492361240469608
70%,17,0.006,128,4,0.85,0.15,0.65,0.0525604114595578
70%,18,0.006,128,4,1.0,0.2,0.75,0.0524086490214186
70%,19,0.006,160,2,0.7,0.1,0.5,0.0429578025764438
70%,20,0.006,160,2,0.85,0.15,0.65,0.0460093809057784
70%,21,0.006,160,2,1.0,0.2,0.75,0.0451179128041705
70%,22,0.006,160,3,0.7,0.1,0.5,0.051166029049741
70%,23,0.006,160,3,0.85,0.15,0.65,0.0503332974909222
70%,24,0.006,160,3,1.0,0.2,0.75,0.0466718669721899
70%,25,0.006,160,4,0.7,0.1,0.5,0.049752234699224
70%,26,0.006,160,4,0.85,0.15,0.65,0.0507422192216126
70%,27,0.006,160,4,1.0,0.2,0.75,0.0400408525958879
70%,28,0.008,96,2,0.7,0.1,0.5,0.0540240026909694
70%,29,0.008,96,2,0.85,0.15,0.65,0.0537562400557478
70%,30,0.008,96,2,1.0,0.2,0.75,0.0490050307782719
70%,31,0.008,96,3,0.7,0.1,0.5,0.0514294548842156
70%,32,0.008,96,3,0.85,0.15,0.65,0.0525947173387063
70%,33,0.008,96,3,1.0,0.2,0.75,0.0489581894754164
70%,34,0.008,96,4,0.7,0.1,0.5,0.0536699073568983
70%,35,0.008,96,4,0.85,0.15,0.65,0.0539149145111751
70%,36,0.008,96,4,1.0,0.2,0.75,0.0506926123071411
70%,37,0.008,128,2,0.7,0.1,0.5,0.0450040511356872
70%,38,0.008,128,2,0.85,0.15,0.65,0.047652675050918
70%,39,0.008,128,2,1.0,0.2,0.75,0.0471290043426416
70%,40,0.008,128,3,0.7,0.1,0.5,0.0426445262445624
70%,41,0.008,128,3,0.85,0.15,0.65,0.0446588737534379
70%,42,0.008,128,3,1.0,0.2,0.75,0.0457614653082281
