train_ratio,epochs,XNet_rmse,FC_rmse,LSTM_rmse,GRU_rmse,CNN_rmse,ResNet_rmse,best_baseline_model,best_baseline_rmse,xnet_vs_best_baseline_percent,xnet_best_lr,xnet_best_hidden_dim,xnet_best_num_layers,xnet_best_lambda1,xnet_best_lambda2,xnet_best_d
40%,300,0.1265664783665393,0.4645543264408412,0.0768302070138242,0.0836097480797669,0.2721379337792493,0.1970477716383908,LSTM,0.0768302070138242,-64.73530826718445,0.01,128,2,0.7,0.1,0.5
50%,300,0.0797111776846496,0.147766600375466,0.040777280770441,0.0451418955481039,0.0314520929058637,0.1338241608328696,CNN,0.0314520929058637,-153.436799653446,0.006,160,2,0.7,0.1,0.5
60%,300,0.0516501988278784,0.0438088158735356,0.0367138413430784,0.0259679422928214,0.0335534256533198,0.0704381814168737,GRU,0.0259679422928214,-98.89985215407924,0.006,160,2,0.85,0.15,0.65
70%,300,0.0366173853372164,0.0355778242219125,0.0329271675021505,0.0243752927632302,0.034751358427411,0.0419950836567535,GRU,0.0243752927632302,-50.22336631153507,0.01,160,2,0.7,0.1,0.5
