battery,XNet_rmse,FC_rmse,LSTM_rmse,GRU_rmse,CNN_rmse,ResNet_rmse,baseline_average_rmse,xnet_improve_percent
B0005,0.05270436103902676,0.034944597546845195,0.04298444618379016,0.08638497375202393,0.22237349006361068,0.22990274432041038,0.12331805037333607,57.26143830569143
B0006,0.1473749870267123,0.19859596218194617,0.10697321832609138,0.030480591294764485,0.0402963255691901,0.07482099255781238,0.0902334179859609,-63.3263931658245
B0007,0.04512195500042384,0.15188377582642287,0.028209029854854885,0.025354064469317934,0.1585295394517176,0.17347215250444584,0.10748971242135182,58.022071150819464
B0018,0.16091657636789897,0.5050014157322594,0.060782167641055,0.03143267955306294,0.24838007677166446,0.24484662020813988,0.21808859198123637,26.215041829540674
average,0.10152946985851546,0.22260643782186842,0.05973721550144785,0.04341307726729232,0.1673948579640457,0.1807606273977021,0.1347824431904713,24.671591154467755
