train_ratio,combo_idx,lr,hidden_dim,num_layers,lambda1,lambda2,d,avg_rmse
40%,1,0.01,128,2,0.7,0.1,0.5,0.10152946985851546
50%,1,0.01,128,2,0.7,0.1,0.5,0.02061793494205847
60%,1,0.01,128,2,0.7,0.1,0.5,0.019042296556214408
70%,1,0.01,128,2,0.7,0.1,0.5,0.019780644616528356
