train_ratio,battery,XNet_rmse,FC_rmse,LSTM_rmse,GRU_rmse,CNN_rmse,ResNet_rmse,best_baseline_model,best_baseline_rmse,xnet_vs_best_baseline_percent
40%,average,0.10152946985851546,0.22260643782186842,0.05973721550144785,0.04341307726729232,0.1673948579640457,0.1807606273977021,GRU,0.04341307726729232,-133.86840152657962
50%,average,0.02061793494205847,0.04516799043157707,0.03463919813196765,0.02640744474050563,0.030119063120972525,0.10209693599692796,GRU,0.02640744474050563,21.923778901511042
60%,average,0.019042296556214408,0.02765822961025674,0.03488779215648044,0.0231944635122111,0.028332563641322986,0.05387538041569448,GRU,0.0231944635122111,17.901543417077594
70%,average,0.019780644616528356,0.024060541279071715,0.030285638986038633,0.02183859957279427,0.027600191921177117,0.028929905400916743,GRU,0.02183859957279427,9.423474932108924
