train_ratio,battery,XNet_rmse,FC_rmse,LSTM_rmse,GRU_rmse,CNN_rmse,ResNet_rmse,best_baseline_model,best_baseline_rmse,xnet_vs_best_baseline_percent
40%,average,0.14825651596922101,0.46455513462629716,0.07683124484166905,0.08182629298402617,0.2733451201052358,0.22659127894645137,LSTM,0.07683124484166905,-92.96383427698261
50%,average,0.08831364517934752,0.14776672815265812,0.04078201240153247,0.04257701586945065,0.0315317203117867,0.10859590683366069,CNN,0.0315317203117867,-180.0787407286988
60%,average,0.056534162460129,0.04380880175795607,0.03669909399978688,0.026685254433023654,0.03354488793958922,0.052644216833067435,GRU,0.026685254433023654,-111.8554372491446
70%,average,0.042340252295765005,0.035577838460640596,0.032925232200522306,0.024260661052718565,0.03469388458713632,0.04356857319749476,GRU,0.024260661052718565,-74.52225313959656
